Date,Open,High,Low,Close,Adj Close,Volume
2016-06-27,23.250000,24.117500,22.875000,23.972500,22.394749,737313600
2016-07-04,23.847500,24.222500,23.592501,24.170000,22.579247,450824000
2016-07-11,24.187500,24.825001,24.182501,24.695000,23.069700,571642400
2016-07-18,24.674999,25.250000,24.577499,24.665001,23.041672,590262000
2016-07-25,24.562500,26.137501,24.105000,26.052500,24.337851,1026284000
2016-08-01,26.102501,26.912500,26.000000,26.870001,25.101549,680596800
2016-08-08,26.879999,27.235001,26.790001,27.045000,25.401896,498023200
2016-08-15,27.035000,27.557501,27.020000,27.340000,25.678976,529485600
2016-08-22,27.215000,27.330000,26.577499,26.735001,25.110729,494422000
2016-08-29,26.655001,27.000000,26.375000,26.932501,25.296234,532002400
2016-09-05,26.975000,27.190001,25.782499,25.782499,24.216099,675214800
2016-09-12,25.662500,29.032499,25.632500,28.730000,26.984528,1552912800
2016-09-19,28.797501,29.045000,27.887501,28.177500,26.465593,804382800
2016-09-26,27.910000,28.660000,27.887501,28.262501,26.545429,625536000
2016-10-03,28.177500,28.639999,28.070000,28.514999,26.782583,504117600
2016-10-10,28.754999,29.672501,28.680000,29.407499,27.620863,834833600
2016-10-17,29.332500,29.552500,28.450001,29.150000,27.379011,462126000
2016-10-24,29.275000,29.590000,28.327499,28.430000,26.702751,840902400
2016-10-31,28.412500,28.557501,27.027500,27.209999,25.556870,625386000
2016-11-07,27.520000,27.930000,26.457500,27.107500,25.591320,829076000
2016-11-14,26.927500,27.635000,26.020000,27.514999,25.976027,793365600
2016-11-21,27.530001,28.105000,27.502501,27.947500,26.384338,376529600
2016-11-28,27.857500,28.117500,27.212500,27.475000,25.938267,622000000
2016-12-05,27.500000,28.674999,27.062500,28.487499,26.894136,607958400
2016-12-12,28.322500,29.182501,28.122499,28.992500,27.370890,780062400
2016-12-19,28.950001,29.375000,28.897499,29.129999,27.500698,453292000
2016-12-26,29.129999,29.504999,28.857500,28.955000,27.335484,339314400
2017-01-02,28.950001,29.540001,28.690001,29.477501,27.828764,415382000
2017-01-09,29.487499,29.982500,29.485001,29.760000,28.095461,555242800
2017-01-16,29.584999,30.125000,29.555000,30.000000,28.322041,465392000
2017-01-23,30.000000,30.610001,29.875000,30.487499,28.782272,498157200
2017-01-30,30.232500,32.622501,30.155001,32.270000,30.465073,999124800
2017-02-06,32.282501,33.235001,32.224998,33.029999,31.182564,545796800
2017-02-13,33.270000,34.067501,33.187500,33.930000,32.171108,546670000
2017-02-20,34.057499,34.369999,33.820000,34.165001,32.393925,351635600
2017-02-27,34.285000,35.070000,34.070000,34.945000,33.133476,509896000
2017-03-06,34.842499,34.994999,34.262501,34.785000,32.981777,398688800
2017-03-13,34.712502,35.255001,34.705002,34.997501,33.183266,486158400
2017-03-20,35.099998,35.700001,34.932499,35.160000,33.337337,518696000
2017-03-27,34.847500,36.125000,34.654999,35.915001,34.053204,508035600
2017-04-03,35.927502,36.365002,35.762501,35.834999,33.977352,421664800
2017-04-10,35.900002,35.970001,35.014999,35.262501,33.434532,349942800
2017-04-17,35.369999,35.730000,35.112499,35.567501,33.723717,356994000
2017-04-24,35.875000,36.224998,35.794998,35.912498,34.050831,364614800
2017-05-01,36.275002,37.244999,36.067501,37.240002,35.309509,701406800
2017-05-08,37.257500,39.105000,37.257500,39.025002,37.001987,693882400
2017-05-15,39.002499,39.162498,37.427502,38.264999,36.431133,629419600
2017-05-22,38.500000,38.724998,38.167500,38.402500,36.562050,412906000
2017-05-29,38.355000,38.862499,38.055000,38.862499,36.999996,355011600
2017-06-05,38.584999,38.994999,36.505001,37.244999,35.460018,636638800
2017-06-12,36.435001,36.875000,35.549999,35.567501,33.862915,882121600
2017-06-19,35.915001,36.790001,35.915001,36.570000,34.817364,533012000
2017-06-26,36.792500,37.070000,35.570000,36.005001,34.279442,508240800
2017-07-03,36.220001,36.325001,35.602501,36.044998,34.317524,316711600
2017-07-10,36.027500,37.332500,35.842499,37.259998,35.474300,444353600
2017-07-17,37.205002,37.935001,37.142502,37.567501,35.767059,424326400
2017-07-24,37.645000,38.497501,36.825001,37.375000,35.583794,423272400
2017-07-31,37.474998,39.937500,37.032501,39.097500,37.223736,691234000
2017-08-07,39.264999,40.457500,38.657501,39.369999,37.483177,605076400
2017-08-14,39.830002,40.627499,39.180000,39.375000,37.635151,538514000
2017-08-21,39.375000,40.185001,38.777500,39.965000,38.199085,450684800
2017-08-28,40.035000,41.235001,39.982498,41.012501,39.200302,504514800
2017-09-04,40.937500,41.062500,39.632500,39.657501,37.905174,406640800
2017-09-11,40.125000,40.990002,39.477501,39.970001,38.203869,884310000
2017-09-18,40.027500,40.125000,37.639999,37.972500,36.294628,744754000
2017-09-25,37.497501,38.680000,37.290001,38.529999,36.827488,619427200
2017-10-02,38.564999,38.872501,38.115002,38.825001,37.109447,375137200
2017-10-09,38.952499,39.500000,38.775002,39.247501,37.513294,325219200
2017-10-16,39.474998,40.217499,38.755001,39.062500,37.336460,504205200
2017-10-23,39.222500,40.900002,38.817501,40.762501,38.961342,489613200
2017-10-30,40.972500,43.564999,40.930000,43.125000,41.219452,860709600
2017-11-06,43.092499,44.060001,42.930000,43.667500,41.737984,553701600
2017-11-13,43.375000,43.625000,42.095001,42.537498,40.804073,465838800
2017-11-20,42.572498,43.875000,42.389999,43.742500,41.959969,324037200
2017-11-27,43.762501,43.770000,41.790001,42.762501,41.019905,680394000
2017-12-04,43.119999,43.154999,41.615002,42.342499,40.617016,549924400
2017-12-11,42.299999,43.542500,42.197498,43.492500,41.720161,556588800
2017-12-18,43.720001,44.299999,43.312500,43.752499,41.969559,470529600
2017-12-25,42.700001,42.962502,42.305000,42.307499,40.583443,388655200
2018-01-01,42.540001,43.842499,42.314999,43.750000,41.967163,404673600
2018-01-08,43.587502,44.340000,43.250000,44.272499,42.468365,440790000
2018-01-15,44.474998,45.025002,43.767502,44.615002,42.796917,510284800
2018-01-22,44.325001,44.860001,42.514999,42.877499,41.130219,766299200
2018-01-29,42.540001,42.540001,40.025002,40.125000,38.489887,1051968400
2018-02-05,39.775002,40.970001,37.560001,39.102501,37.509048,1270616000
2018-02-12,39.625000,43.705002,39.377499,43.107498,41.519432,901347600
2018-02-19,43.012501,43.912498,42.752499,43.875000,42.258675,544825600
2018-02-26,44.087502,45.154999,43.112499,44.052502,42.429626,808513600
2018-03-05,43.802502,45.000000,43.567501,44.994999,43.337402,559410800
2018-03-12,45.072498,45.875000,44.404999,44.505001,42.865456,621670000
2018-03-19,44.330002,44.367500,41.235001,41.235001,39.715919,690682800
2018-03-26,42.017502,43.787498,41.297501,41.945000,40.399765,634123200
2018-04-02,41.660000,43.557499,41.117500,42.095001,40.544247,657635200
2018-04-09,42.470001,43.959999,42.462502,43.682499,42.073257,511486000
2018-04-16,43.757500,44.735001,41.357498,41.430000,39.903744,676952800
2018-04-23,41.707500,41.730000,40.157501,40.580002,39.085056,648833600
2018-04-30,40.532501,46.062500,40.459999,45.957500,44.264439,1011222800
2018-05-07,46.294998,47.592499,45.917500,47.147499,45.410603,593067600
2018-05-14,47.252499,47.382500,46.275002,46.577499,45.034599,396995200
2018-05-21,47.000000,47.412498,46.439999,47.145000,45.583298,377579600
2018-05-28,46.900002,47.564999,46.535000,47.560001,45.984558,368519600
2018-06-04,47.910000,48.549999,47.442501,47.924999,46.337463,467079200
2018-06-11,47.837502,48.220001,47.064999,47.209999,45.646137,560749200
2018-06-18,46.970001,47.305000,45.862499,46.230000,44.698605,502417600
2018-06-25,45.849998,46.820000,45.182499,46.277500,44.744537,486482000
2018-07-02,45.955002,47.107498,45.855000,46.992500,45.435848,263102000
2018-07-09,47.375000,47.959999,46.902500,47.832500,46.248024,340328800
2018-07-16,47.880001,48.162498,47.299999,47.860001,46.274609,351736000
2018-07-23,47.669998,48.990002,47.389999,47.744999,46.163422,377988800
2018-07-30,47.974998,52.185001,47.267502,51.997501,50.275055,896758400
2018-08-06,52.000000,52.445000,51.130001,51.882500,50.163860,486568400
2018-08-13,52.327499,54.487499,51.924999,54.395000,52.777592,557495600
2018-08-20,54.525002,54.794998,53.459999,54.040001,52.433147,451300800
2018-08-27,54.287498,57.217499,54.082500,56.907501,55.215378,650762400
2018-09-03,57.102501,57.417500,55.177502,55.325001,53.679935,530531600
